roll_number,department,credit,course_name,course_type,grade
981238,MM,3,ME966,minor,BB
973158,EE,4,CH643,hasmed_elective,AP
692318,CSE,6,EE692,department_elective,AB
282482,MM,4,MA812,hasmed_elective,AB
478606,CE,4,CE534,honours,CC
571782,ME,6,ME984,honours,BC
388969,CSE,8,CH531,department_elective,BB
680096,CH,8,CH659,honours,BB
995208,ME,4,ME723,core,BB
124663,EE,6,EE713,honours,BC
773982,EE,3,MM404,minor,CC
461584,EE,6,IE479,flexible_elective,AP
716985,MM,3,MM429,honours,AB
998293,ME,8,CH140,flexible_elective,AA
721490,EP,4,EP638,core,AA
521087,CSE,6,EE401,department_elective,AB
608522,EC,3,EE940,hasmed_elective,AA
692318,CSE,6,EE357,alc,BC
960395,EE,4,MM914,minor,AA
344265,CSE,8,EE276,flexible_elective,AB
465496,MA,4,MA441,flexible_elective,AA
810863,CE,3,EP672,department_elective,AB
571782,ME,3,ME452,honours,AP
358405,MA,6,IE673,flexible_elective,BB
630568,EP,8,EP540,department_elective,AP
879634,EP,8,MA575,alc,AP
718510,EP,4,EP840,core,BB
571782,ME,8,ME950,honours,AB
485484,MM,3,MM173,honours,CC
589528,EE,3,EC429,alc,BC
845623,EE,8,CH145,hasmed_elective,AB
888886,CE,4,CE852,core,AB
626000,EC,3,EC180,honours,AB
781075,CE,4,CH752,flexible_elective,AP
214270,CH,8,EE499,department_elective,BC
775967,EC,8,CSE107,flexible_elective,BB
841365,MA,8,CE372,alc,BB
995208,ME,6,EE520,alc,AA
971123,MA,6,MA756,honours,AA
270007,IE,3,MM938,minor,BC
981238,MM,3,CH740,minor,AP
138296,MM,3,CH367,department_elective,BC
358405,MA,6,EC871,flexible_elective,BC
781075,CE,8,CE327,core,AP
207443,ME,3,ME465,core,AP
458200,EC,6,EC498,honours,BB
199713,EE,8,EE765,core,AA
581858,MA,4,MA779,honours,AP
845623,EE,4,EE828,honours,AA
214270,CH,4,CE784,department_elective,AP
581065,EP,4,CE157,flexible_elective,BB
787967,EC,6,MA868,hasmed_elective,BB
788020,CE,4,EP483,alc,AA
613401,CE,6,CE965,flexible_elective,CC
841365,MA,4,EC564,hasmed_elective,CC
517837,CH,4,CH612,core,BC
841365,MA,6,EP332,hasmed_elective,CC
960395,EE,4,CE108,minor,CC
364146,MA,4,CE539,department_elective,AB
773982,EE,3,EE578,alc,AA
836881,MM,8,ME862,hasmed_elective,BC
787967,EC,8,EC188,honours,CC
270007,IE,4,CSE184,alc,AA
973158,EE,6,EE792,core,AB
265922,EP,6,EP159,core,BB
482623,IE,3,IE589,honours,AB
851029,CSE,8,CSE661,honours,AA
327122,MM,6,CH453,flexible_elective,AA
208100,EE,8,EC306,flexible_elective,BB
461584,EE,4,EP295,department_elective,AB
608522,EC,4,IE870,hasmed_elective,AA
381227,CE,6,MA965,alc,AA
775967,EC,4,EC759,honours,AB
608522,EC,6,CSE682,hasmed_elective,AB
750259,MM,4,IE771,alc,AA
203200,CH,6,CH939,core,BB
781075,CE,3,MM872,alc,CC
203200,CH,6,EC241,hasmed_elective,AP
143856,CE,6,EE491,flexible_elective,AA
265922,EP,3,MM152,alc,BC
283796,ME,4,MM719,minor,AA
608952,EP,6,IE161,flexible_elective,BC
461584,EE,4,CE479,minor,AA
588946,MA,4,IE676,alc,BB
145372,EP,6,IE635,hasmed_elective,CC
986057,ME,6,CH534,department_elective,CC
721490,EP,8,MA340,department_elective,CC
143856,CE,3,IE174,hasmed_elective,AP
488661,EE,4,CH420,flexible_elective,CC
626000,EC,4,EC374,honours,AA
124663,EE,6,EE231,core,AP
998293,ME,3,ME861,core,BC
613401,CE,3,EP633,hasmed_elective,BC
282482,MM,3,IE745,flexible_elective,BB
928288,CSE,4,MM486,department_elective,BB
955757,MM,8,MM123,core,BC
810863,CE,4,IE177,alc,AB
143856,CE,8,CE255,core,AP
138296,MM,6,EP242,department_elective,CC
692318,CSE,6,EP470,hasmed_elective,CC
379479,MA,4,MA809,honours,AB
626000,EC,3,CSE128,flexible_elective,BC
310604,EE,6,MM250,hasmed_elective,BB
870642,MM,4,MM180,core,AP
143856,CE,8,CE473,core,AP
381526,CE,3,EP915,flexible_elective,BC
879634,EP,4,CE267,minor,CC
572815,CSE,3,MM627,department_elective,BC
461584,EE,8,EE285,honours,BB
521087,CSE,6,CSE473,core,BC
608952,EP,8,MA910,alc,BC
358405,MA,8,EE533,alc,AB
364146,MA,6,MA438,core,BB
721490,EP,4,CE101,hasmed_elective,AA
881983,MA,4,CSE727,hasmed_elective,BB
207443,ME,4,ME305,honours,BB
381227,CE,4,MM571,flexible_elective,AP
870642,MM,3,CE299,alc,AA
971123,MA,4,MA292,honours,AB
810863,CE,8,EE778,flexible_elective,AA
703403,EC,8,CE697,department_elective,AP
207443,ME,8,ME173,core,CC
845623,EE,8,EE168,core,BC
485484,MM,4,EP377,flexible_elective,AA
608522,EC,3,EC123,core,AP
282482,MM,3,MM253,honours,AP
955757,MM,6,MM459,honours,AB
270007,IE,8,MM756,department_elective,CC
597353,CSE,6,IE368,minor,CC
845623,EE,4,EP864,minor,BB
265922,EP,4,EE224,department_elective,AB
358405,MA,6,EP622,hasmed_elective,CC
973158,EE,3,IE116,department_elective,AB
203200,CH,8,CH463,honours,AP
458200,EC,6,EC136,core,AP
986057,ME,8,CSE433,hasmed_elective,BB
608952,EP,3,MA976,alc,BC
461584,EE,3,CSE686,minor,BC
294697,MM,8,MM606,honours,AA
986057,ME,3,IE735,flexible_elective,BB
482623,IE,4,IE230,honours,AB
379479,MA,8,MA378,honours,BC
971123,MA,6,CSE116,hasmed_elective,AB
981238,MM,8,EP330,hasmed_elective,CC
881983,MA,8,MA510,honours,AP
488661,EE,4,EE645,core,AA
907454,CSE,6,ME164,alc,AP
597353,CSE,8,CSE856,alc,BB
847809,IE,8,CE875,alc,CC
159438,EE,4,CSE772,alc,AB
270007,IE,3,CE179,flexible_elective,AB
581858,MA,8,MA245,department_elective,AB
613401,CE,3,CE422,core,AP
500658,CE,8,ME937,hasmed_elective,BC
124663,EE,8,EE420,honours,AB
973158,EE,3,CH385,alc,BC
681499,CH,4,CH355,core,BC
907454,CSE,4,CSE364,core,CC
388969,CSE,3,CH515,hasmed_elective,BC
692318,CSE,4,IE545,alc,AB
879634,EP,8,MA360,flexible_elective,AB
834515,MA,3,MA947,core,AP
482623,IE,8,IE719,core,CC
836431,EE,4,CSE105,flexible_elective,AP
781075,CE,3,EC670,alc,CC
716985,MM,3,MM534,core,BC
465496,MA,3,CE270,minor,AP
810863,CE,3,ME563,flexible_elective,BC
703403,EC,3,EE351,alc,BB
465496,MA,3,CE905,hasmed_elective,BC
327122,MM,8,MM658,core,AB
344265,CSE,3,CSE682,honours,CC
836881,MM,3,EP373,department_elective,AB
517837,CH,4,MM908,hasmed_elective,BC
907454,CSE,8,EP592,alc,AB
283796,ME,6,MM477,department_elective,BB
716985,MM,3,EP224,department_elective,BB
194063,EP,3,ME571,hasmed_elective,AB
194063,EP,4,CE486,hasmed_elective,AA
145372,EP,3,CE525,hasmed_elective,BB
362471,EE,8,EE439,core,BC
572815,CSE,6,EP779,department_elective,CC
721490,EP,6,EP972,core,AP
851029,CSE,3,MA786,hasmed_elective,CC
718510,EP,6,IE483,minor,CC
488661,EE,4,EC649,department_elective,AB
488661,EE,8,IE647,flexible_elective,BB
458200,EC,8,EC377,honours,BC
143856,CE,6,CE577,core,AB
960395,EE,4,EE711,honours,AP
851029,CSE,8,MA631,alc,AA
138296,MM,8,MM351,core,AB
781075,CE,4,CE424,department_elective,AA
214270,CH,4,CH381,honours,AP
265922,EP,3,CSE829,hasmed_elective,BB
721490,EP,4,EE598,department_elective,AB
871746,IE,6,ME647,alc,AP
834515,MA,6,ME765,flexible_elective,BB
150503,CH,3,CE177,flexible_elective,AA
630568,EP,8,ME891,flexible_elective,AP
608522,EC,4,ME661,department_elective,AB
845623,EE,4,EE920,core,BB
478606,CE,6,IE924,department_elective,AP
391848,ME,3,ME522,core,AP
834515,MA,3,IE562,department_elective,BB
207443,ME,6,MA942,hasmed_elective,AP
143142,CSE,3,EP589,alc,BB
329535,EC,6,EC262,core,AB
534763,MA,4,CSE543,minor,BB
159438,EE,4,CSE888,hasmed_elective,BC
150503,CH,8,ME536,department_elective,AB
628849,MA,3,MA356,department_elective,AA
680096,CH,3,EC639,minor,BB
485484,MM,3,ME937,flexible_elective,AB
214270,CH,6,EC322,flexible_elective,CC
986057,ME,6,MM920,hasmed_elective,CC
144528,ME,8,ME129,honours,AA
703403,EC,8,MM120,department_elective,AA
458200,EC,6,EC932,core,BC
203200,CH,4,CH667,core,AB
907454,CSE,6,CE106,minor,AA
581858,MA,3,MM801,alc,AA
970791,MA,6,MA672,core,BC
358405,MA,3,MA335,honours,AA
388969,CSE,3,CSE957,core,AP
381227,CE,8,ME162,alc,BB
836881,MM,6,ME355,department_elective,BC
782129,MA,6,EE264,department_elective,BB
836431,EE,8,CSE470,flexible_elective,AA
847809,IE,6,IE486,honours,AB
482623,IE,6,CE975,alc,CC
265922,EP,4,CE825,flexible_elective,CC
733782,CH,3,CH676,alc,BB
907454,CSE,6,CE871,hasmed_elective,CC
970791,MA,6,CSE358,department_elective,BB
203200,CH,6,MA694,department_elective,AB
608952,EP,6,EE976,alc,BB
364146,MA,6,MM567,minor,AB
265922,EP,3,CE186,department_elective,AB
981238,MM,6,CH183,alc,AP
362471,EE,8,EP281,flexible_elective,AA
465496,MA,4,MA864,core,AB
265922,EP,8,MM463,flexible_elective,BC
294697,MM,4,MA174,hasmed_elective,AB
810863,CE,4,CSE826,flexible_elective,BC
928288,CSE,8,MA207,hasmed_elective,BC
836881,MM,6,CH374,minor,BB
773982,EE,6,CE785,minor,AB
608522,EC,3,EC764,core,AA
143856,CE,3,CE672,honours,AP
810863,CE,8,CE590,core,BC
986057,ME,4,CH833,minor,BB
572815,CSE,3,EC232,alc,AB
478606,CE,4,CE338,department_elective,BC
150503,CH,4,CE384,hasmed_elective,AP
282482,MM,4,MM687,honours,AP
787967,EC,4,EP520,alc,BB
301135,IE,4,IE840,honours,AB
928288,CSE,4,EE538,alc,CC
362471,EE,4,CSE888,hasmed_elective,CC
680096,CH,6,CH403,honours,BC
787967,EC,6,IE669,minor,AP
344265,CSE,3,CH782,minor,BC
282482,MM,4,ME768,flexible_elective,BB
301135,IE,8,MM848,alc,BB
199713,EE,3,CH344,alc,BB
581858,MA,6,CH934,minor,AA
388969,CSE,3,MA223,flexible_elective,AA
203200,CH,6,IE437,department_elective,BB
692318,CSE,6,MM974,department_elective,CC
608952,EP,4,EP742,honours,CC
718510,EP,6,EE912,hasmed_elective,AB
955757,MM,4,MM288,honours,BC
327122,MM,4,MM143,honours,AA
294697,MM,4,ME702,flexible_elective,BC
582912,CH,3,EC106,alc,BC
283796,ME,6,EP703,department_elective,AA
143856,CE,6,MA613,alc,AA
517837,CH,8,CH351,core,BC
478606,CE,8,EP905,department_elective,CC
482623,IE,8,IE900,alc,CC
364146,MA,3,EP648,hasmed_elective,AP
613401,CE,8,CSE773,hasmed_elective,BC
581065,EP,8,CE857,department_elective,BC
144528,ME,4,EP537,flexible_elective,CC
788020,CE,4,CSE785,alc,AA
344265,CSE,3,IE136,hasmed_elective,AA
971123,MA,8,CE821,hasmed_elective,CC
981238,MM,8,MM172,core,BB
841365,MA,4,IE469,flexible_elective,AB
282482,MM,3,EP498,flexible_elective,AB
391848,ME,8,IE220,minor,BC
816041,MA,3,MA880,core,BB
571782,ME,8,EE151,alc,AA
718510,EP,8,MM516,minor,AP
970791,MA,8,CSE586,minor,CC
572815,CSE,4,CSE926,honours,AA
124663,EE,8,EC836,department_elective,AP
955757,MM,6,MA823,alc,BC
847809,IE,3,ME787,alc,AP
703403,EC,6,EP738,department_elective,AP
517837,CH,4,EP886,alc,CC
344265,CSE,4,CH720,flexible_elective,AA
485484,MM,6,MM369,flexible_elective,BC
970791,MA,3,MM966,alc,AB
608522,EC,4,EC668,core,AP
344265,CSE,3,CSE405,honours,BB
608952,EP,8,CSE599,alc,AB
485484,MM,3,EC626,minor,AB
775967,EC,6,EP102,minor,BC
344265,CSE,6,CSE592,department_elective,AB
381526,CE,6,CE480,department_elective,BC
138296,MM,4,CE571,minor,BB
461971,CE,6,CE882,core,CC
381526,CE,6,CSE216,minor,AA
144528,ME,4,EP745,alc,CC
521087,CSE,3,MA115,flexible_elective,CC
282482,MM,8,CE430,department_elective,BC
203200,CH,8,CH909,honours,AA
124663,EE,3,EE321,core,AB
721490,EP,4,EP404,core,AA
681499,CH,6,EC930,minor,AA
150503,CH,4,EE908,hasmed_elective,CC
970791,MA,4,EP330,department_elective,BC
199713,EE,6,CH513,hasmed_elective,AB
143856,CE,4,ME187,hasmed_elective,BC
888886,CE,8,CE351,core,AP
388969,CSE,6,EP829,alc,CC
143142,CSE,6,CSE496,honours,BB
597353,CSE,4,CSE696,flexible_elective,BB
816041,MA,6,EC258,minor,BB
879634,EP,6,EP293,core,BC
750259,MM,6,EC154,department_elective,AB
971123,MA,4,CSE895,minor,AA
203200,CH,4,CE647,department_elective,BC
597353,CSE,6,MA658,department_elective,CC
310604,EE,3,ME716,department_elective,BC
888886,CE,3,CSE205,minor,BB
327122,MM,3,CSE688,hasmed_elective,AA
478606,CE,8,MA737,flexible_elective,AA
870642,MM,3,EC406,alc,BB
986057,ME,8,ME711,core,AB
199713,EE,8,CE280,minor,BB
478606,CE,3,MA957,flexible_elective,AA
782129,MA,3,ME712,department_elective,AP
681499,CH,3,ME678,flexible_elective,CC
716985,MM,8,IE915,flexible_elective,BC
847809,IE,8,CSE673,alc,AP
199713,EE,3,EE697,core,BB
721490,EP,6,EP555,honours,AA
888886,CE,6,CE658,honours,BC
144528,ME,3,CH549,hasmed_elective,CC
703403,EC,8,EP700,alc,AB
787967,EC,8,IE210,department_elective,AP
973158,EE,3,EE908,hasmed_elective,BC
845623,EE,6,EC127,alc,AB
381526,CE,8,CE662,honours,AA
928288,CSE,4,CE413,minor,CC
358405,MA,4,MA570,honours,AP
716985,MM,4,MM596,core,BC
379479,MA,6,ME836,alc,BC
581065,EP,6,EP831,honours,AA
270007,IE,8,CE823,minor,BC
775967,EC,4,CSE279,alc,AP
870642,MM,3,CSE949,hasmed_elective,AB
847809,IE,8,IE728,core,CC
750259,MM,3,EP693,hasmed_elective,AB
478606,CE,4,CSE926,flexible_elective,BC
138296,MM,3,CH139,alc,BB
588946,MA,4,CSE240,department_elective,BB
630568,EP,6,EC729,minor,BB
301135,IE,6,EP160,department_elective,AA
144528,ME,3,ME292,flexible_elective,AP
344265,CSE,8,EE670,alc,AP
145372,EP,3,EP847,core,AP
379479,MA,4,EE567,minor,BC
143142,CSE,4,EC276,minor,BB
810863,CE,8,MA620,department_elective,AB
391848,ME,8,EC782,department_elective,AA
214270,CH,6,CH418,honours,BC
847809,IE,6,MM769,hasmed_elective,BC
630568,EP,6,EP291,honours,AB
888886,CE,6,CE823,honours,CC
628849,MA,6,MA261,alc,AB
327122,MM,8,CH911,flexible_elective,BC
124663,EE,3,EE614,hasmed_elective,AP
379479,MA,6,MA992,hasmed_elective,AP
960395,EE,6,EE880,core,AB
998293,ME,6,MM263,department_elective,AA
834515,MA,4,MA624,core,BC
608952,EP,3,EP469,core,AA
721490,EP,3,ME164,hasmed_elective,AB
851029,CSE,4,CSE384,core,BC
703403,EC,3,EC488,honours,CC
788020,CE,4,EP871,hasmed_elective,BB
465496,MA,8,MA716,flexible_elective,BC
143142,CSE,8,EP809,alc,AP
971123,MA,3,MA950,honours,AA
581858,MA,4,ME979,hasmed_elective,BC
955757,MM,6,EC356,alc,CC
362471,EE,4,CE393,minor,BB
703403,EC,4,CSE807,minor,CC
534763,MA,3,MA304,core,CC
143142,CSE,3,CSE626,alc,CC
388969,CSE,4,CE531,minor,AA
208100,EE,3,EP646,hasmed_elective,CC
581858,MA,8,MA795,core,AB
283796,ME,8,MA992,flexible_elective,AP
194063,EP,3,EC523,hasmed_elective,BB
928288,CSE,6,CSE701,core,AP
681499,CH,4,CH189,core,AA
973158,EE,4,CSE942,alc,AP
836431,EE,4,EP839,minor,AA
143856,CE,3,EC502,hasmed_elective,AA
847809,IE,8,CH505,minor,CC
589528,EE,4,EE612,core,BB
180828,CSE,3,EC598,flexible_elective,BB
582912,CH,3,EC772,minor,AP
907454,CSE,4,CSE129,department_elective,CC
388969,CSE,3,MM671,minor,AP
327122,MM,6,MM480,flexible_elective,AB
775967,EC,4,IE894,flexible_elective,CC
143142,CSE,8,CE510,flexible_elective,CC
572815,CSE,8,IE293,flexible_elective,BB
589528,EE,3,EE795,honours,AA
138296,MM,4,CE151,flexible_elective,AB
500658,CE,4,IE641,hasmed_elective,BB
750259,MM,4,MM244,department_elective,CC
465496,MA,3,MA623,honours,BB
810863,CE,6,CE211,department_elective,BC
816041,MA,4,EC480,flexible_elective,AB
836881,MM,6,CE891,hasmed_elective,AA
180828,CSE,8,ME829,flexible_elective,CC
841365,MA,4,MA685,honours,BC
364146,MA,3,MA270,honours,AP
362471,EE,8,EE872,core,BC
781075,CE,8,CH642,hasmed_elective,AP
159438,EE,4,EE212,honours,AA
845623,EE,4,EE772,department_elective,AB
721490,EP,4,MM756,minor,AB
971123,MA,3,MA584,flexible_elective,CC
630568,EP,8,CH238,minor,AB
716985,MM,4,EP416,alc,BB
329535,EC,4,EE443,hasmed_elective,AB
534763,MA,8,CE673,flexible_elective,AA
461584,EE,3,CH490,flexible_elective,BC
379479,MA,8,CH707,flexible_elective,AA
955757,MM,6,EE379,alc,AA
203200,CH,3,MM746,alc,CC
388969,CSE,3,EP921,minor,CC
588946,MA,6,MA487,core,AA
955757,MM,4,CE415,department_elective,BC
381227,CE,8,CSE724,minor,AP
970791,MA,8,CSE553,alc,AP
750259,MM,8,MM422,honours,BC
329535,EC,4,EC149,core,CC
478606,CE,6,EP888,minor,CC
208100,EE,8,ME574,alc,CC
781075,CE,6,CE153,honours,BB
955757,MM,8,EP159,flexible_elective,AB
788020,CE,6,CE303,core,BC
143856,CE,3,EP486,hasmed_elective,AA
159438,EE,6,CSE482,minor,CC
572815,CSE,3,EP590,alc,BB
283796,ME,3,CSE810,flexible_elective,AA
626000,EC,8,CE259,department_elective,BC
681499,CH,3,CSE989,hasmed_elective,AB
986057,ME,4,ME774,honours,AB
608522,EC,6,ME448,flexible_elective,CC
871746,IE,3,CE846,hasmed_elective,AP
998293,ME,3,ME250,honours,BB
608522,EC,3,ME869,alc,AB
572815,CSE,3,CE183,alc,BC
995208,ME,3,ME156,honours,BC
680096,CH,8,IE155,minor,CC
733782,CH,6,EE483,minor,CC
870642,MM,4,MM513,honours,AB
788020,CE,8,MA501,department_elective,CC
816041,MA,8,CH168,alc,AA
810863,CE,4,CE203,core,AP
851029,CSE,3,ME662,department_elective,AP
521087,CSE,4,CSE704,hasmed_elective,AB
970791,MA,4,MA873,core,AB
124663,EE,8,EE523,honours,BC
773982,EE,6,EE535,honours,AA
626000,EC,3,CE406,flexible_elective,AB
787967,EC,3,EC367,honours,CC
207443,ME,6,ME432,core,CC
981238,MM,4,EP493,hasmed_elective,BB
180828,CSE,4,CH786,department_elective,AA
630568,EP,3,EP966,honours,AB
194063,EP,4,CSE640,department_elective,BB
344265,CSE,6,EE824,hasmed_elective,AB
871746,IE,4,IE637,core,BB
379479,MA,6,MA306,core,AB
692318,CSE,3,CSE567,core,BC
194063,EP,3,EP167,alc,CC
907454,CSE,8,CSE863,core,CC
971123,MA,6,MA825,core,BC
282482,MM,6,MM512,honours,AA
517837,CH,4,CH572,alc,AA
782129,MA,6,MM653,minor,AB
879634,EP,8,MM416,department_elective,AA
143856,CE,6,ME533,alc,AB
718510,EP,6,CE586,alc,BB
907454,CSE,3,CSE419,honours,AP
608522,EC,4,CE431,alc,BC
362471,EE,4,MA185,department_elective,BC
787967,EC,6,EC315,honours,AB
144528,ME,3,MA457,minor,BC
834515,MA,6,EE597,hasmed_elective,CC
851029,CSE,4,MM666,minor,AA
718510,EP,6,EP713,flexible_elective,AA
782129,MA,8,MA530,core,AA
955757,MM,8,MM917,department_elective,CC
960395,EE,3,EC450,department_elective,BB
